@relation stock

@attribute percent_change_since_open real
@attribute percent_change_from_day_low real
@attribute percent_change_from_day_high real
@attribute action {buy, sell, hold}

@data
0.0,0.0,0.0,buy
-0.2256212528864691,0.2256212528864691,0.20231764930195112,sell
-0.0010571159761937482,0.0010571159761937482,0.0,hold
-0.002113896757282374,0.002113896757282374,0.002113896757282374,hold
-0.03803647275109355,0.03803647275109355,0.03803647275109355,buy
0.001057026584218593,-0.001057026584218593,-0.001057026584218593,hold
0.001057026584218593,0.0052851329210929655,-0.001057026584218593,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.002114299004165169,0.002114299004165169,0.002114299004165169,hold
-0.002114299004165169,0.002114299004165169,0.0010571495020825846,hold
0.0021149473906836567,-0.0021149473906836567,-0.0021149473906836567,hold
0.0021149473906836567,-0.0021149473906836567,-0.0021149473906836567,hold
-0.0010575407946361531,0.0010575407946361531,0.0010575407946361531,hold
-0.0010575407946361531,0.0010575407946361531,0.0010575407946361531,hold
0.0,0.0010575407946361531,0.0,hold
0.04020270627691201,-0.03914474032225643,-0.04020270627691201,buy
0.028573545130327112,0.0010582794492713745,-0.028573545130327112,hold
0.028573545130327112,0.0010582794492713745,-0.028573545130327112,hold
-0.0010583914566641619,0.0010583914566641619,0.0010583914566641619,hold
-0.0010583914566641619,0.08149614216314047,0.0010583914566641619,hold
-0.03180054696940787,0.03180054696940787,-0.01484025525239034,hold
-0.03180054696940787,0.03180054696940787,-0.01484025525239034,hold
-0.06358087487283826,0.06358087487283826,0.0169548999660902,sell
-0.0010596138767033293,0.0010596138767033293,0.0010596138767033293,hold
-0.0010596138767033293,0.0010596138767033293,0.0010596138767033293,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.001060625344703237,0.001060625344703237,0.0,hold
-0.001060625344703237,0.001060625344703237,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.001060389162822756,0.0,hold
0.0,0.0,0.0,hold
0.11240125125921213,-0.11240125125921213,-0.11240125125921213,hold
0.08589152218864324,-0.08377074386299772,-0.08589152218864324,hold
0.07422724139759292,-0.07422724139759292,-0.07422724139759292,hold
0.13891098032978103,-0.13891098032978103,-0.13891098032978103,hold
0.13360903451566725,-0.13360903451566725,-0.13360903451566725,hold
0.3064524680557765,-0.3064524680557765,-0.9479879115635439,hold
1.255500768782143,-1.255500768782143,-1.3700227983670008,hold
1.2501988229680292,-1.2501988229680292,-1.2501988229680292,hold
1.4283442023222523,-1.3848682466465192,-1.4283442023222523,hold
1.5004506653941996,-1.4696993796723397,-1.5269603944647687,hold
1.4368273156248343,-1.4368273156248343,-1.4368273156248343,hold
1.4431896506017707,-1.4431896506017707,-1.5216584486506548,hold
1.5216584486506548,-1.5216584486506548,-1.5259000053019458,hold
-0.006266580327115493,0.006266580327115493,0.0020888601090384975,buy
-0.12830810636011808,0.12830810636011808,0.12413548501507359,sell
0.0,0.001043013892945054,0.0,hold
-0.7953828491048065,0.7953828491048065,0.7953828491048065,hold
-0.7953828491048065,0.7953828491048065,-0.0382693958606994,hold
-0.02490556639408908,0.02490556639408908,0.0,hold
-0.02490556639408908,0.02490556639408908,-0.04773566892200407,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0010339764666956182,0.0,hold
0.0,0.0010339764666956182,0.0,hold
0.0,0.0010339764666956182,0.0,hold
-0.0010339764666956182,0.0010339764666956182,0.0010339764666956182,hold
-0.0010339764666956182,0.012407717600347416,0.0010339764666956182,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.0010339764666956182,0.0010339764666956182,0.0010339764666956182,hold
0.0,0.0010339764666956182,0.0,hold
0.0,0.0010339764666956182,0.0,hold
0.0,0.0010339764666956182,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.14992658767086461,-0.14992658767086461,-0.14992658767086461,hold
-0.10443162313625742,0.10546559960295304,0.07961618793556259,hold
-0.18094588167173314,0.18094588167173314,0.13958682300390843,hold
-0.14268875240399528,0.14268875240399528,0.14268875240399528,hold
-0.041359058667824716,0.041359058667824716,0.041359058667824716,hold
0.05376677626817214,-0.05273279980147652,-0.05376677626817214,hold
0.07341232913538888,-0.07341232913538888,-0.07341232913538888,hold
0.07341232913538888,-0.07341232913538888,-0.07341232913538888,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0010324285817528574,0.0,hold
-0.013421571562787143,0.020648571635057147,0.013421571562787143,hold
-0.08156185795847572,0.08156185795847572,0.08156185795847572,hold
-0.01651885730804572,0.01651885730804572,0.01651885730804572,hold
0.0,0.0,0.0,hold
0.0,0.0010324285817528574,0.0,hold
0.032005286034338574,-0.03097285745258572,-0.032005286034338574,hold
-0.0010320982557539477,0.0010320982557539477,0.0010320982557539477,hold
-0.0010320982557539477,0.0010320982557539477,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.0010320982557539477,0.0010320982557539477,0.0010320982557539477,hold
-0.0010320982557539477,0.0010320982557539477,0.0010320982557539477,hold
-0.0010335276365290007,0.0010335276365290007,0.0010335276365290007,hold
-0.0010335276365290007,0.0010335276365290007,0.0010335276365290007,hold
-0.0020671407309409626,0.0020671407309409626,0.0020671407309409626,hold
-0.0020671407309409626,0.0020671407309409626,0.0020671407309409626,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0010336024144952402,0.0,hold
0.0010336451496201354,-0.0010336451496201354,-0.0010336451496201354,hold
0.0010336451496201354,-0.0010336451496201354,-0.0010336451496201354,hold
-0.001036580941422811,0.001036580941422811,0.001036580941422811,hold
-0.0010369894123381,0.0010369894123381,0.0,hold
0.016598887874512407,-0.016598887874512407,-0.016598887874512407,hold
0.016598887874512407,-0.016598887874512407,-0.016598887874512407,hold
0.0,0.0,0.0,hold
0.0,0.0,-0.0020820970881872225,hold
-0.037479698496647645,0.037479698496647645,0.0,hold
-0.020781379883624274,0.020781379883624274,0.0010390689941812137,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0020799101478816114,0.0,hold
-0.002079434393844874,0.002079434393844874,0.002079434393844874,hold
-0.002079434393844874,0.002079434393844874,0.002079434393844874,hold
0.0010397496282895078,-0.0010397496282895078,-0.0010397496282895078,buy
0.0041590850012997145,-0.0041590850012997145,-0.0041590850012997145,hold
0.0041590850012997145,-0.0041590850012997145,-0.0041590850012997145,hold
-0.09141242585725119,0.09141242585725119,0.09141242585725119,sell
-0.0010387667760834338,0.0010387667760834338,0.0010387667760834338,hold
-0.0010387667760834338,0.0010387667760834338,0.0010387667760834338,hold
-0.002077382498052454,0.002077382498052454,0.002077382498052454,hold
-0.002077382498052454,0.002077382498052454,0.002077382498052454,hold
-0.0010387559858313683,0.0010387559858313683,0.0010387559858313683,hold
-0.0010387559858313683,0.0010387559858313683,0.0010387559858313683,hold
-0.0010388746909347794,0.0010388746909347794,0.0,hold
-0.0010388746909347794,0.0010388746909347794,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.00207542079156549,0.00207542079156549,0.001037710395782745,hold
-0.00207542079156549,0.00207542079156549,0.001037710395782745,hold
-0.0020752915784667744,0.0020752915784667744,0.0020752915784667744,hold
-0.0020752915784667744,0.0020752915784667744,0.0020752915784667744,hold
0.0010378719473591348,-0.0010378719473591348,-0.0010378719473591348,hold
0.0010378719473591348,-0.0010378719473591348,-0.0010378719473591348,hold
0.0,0.0031170450413008466,0.0,hold
0.001039533457384326,-0.001039533457384326,-0.001039533457384326,hold
0.001039533457384326,0.05093713941183197,-0.001039533457384326,hold
0.0010399875201497581,0.0,-0.0010399875201497581,hold
0.009361250663088589,-0.009361250663088589,-0.009361250663088589,hold
0.009361250663088589,-0.009361250663088589,-0.009361250663088589,hold
-0.01768107500936057,0.01768107500936057,0.0010400632358447393,hold
-0.0010400632358447393,0.0010400632358447393,0.0010400632358447393,hold
-0.0010400632358447393,0.0010400632358447393,0.0010400632358447393,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
0.0,0.0,0.0,hold
-0.0010398253093480295,0.0010398253093480295,0.0010398253093480295,hold
-0.0010398253093480295,0.0010398253093480295,0.0010398253093480295,hold
-0.002080299563137092,0.002080299563137092,0.002080299563137092,hold
